identifier,type,same_as,diary,page
https://mbdiaries.itatti.harvard.edu/annotation/e6d6d803-808e-4729-8162-fc1c4e5dbcd0/body,place,"['https://www.wikidata.org/wiki/Q3612312', 'https://www.geonames.org/8983259']",1894-95,11
https://mbdiaries.itatti.harvard.edu/annotation/d27a19e3-271a-4b53-bdfa-28b6c5f2159a/body,place,"['https://www.wikidata.org/wiki/', 'https://www.geonames.org/3176959']",1894-95,11
https://mbdiaries.itatti.harvard.edu/annotation/5257c410-3744-4aeb-bd50-dcfa5eba1192/body,date,['1894-02-20T00:00:00+00:00'],1894-95,11
https://mbdiaries.itatti.harvard.edu/annotation/eb2a064b-7174-4adf-8e1b-e4b330dacf7b/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,11
https://mbdiaries.itatti.harvard.edu/annotation/5257c410-3744-4aeb-bd50-dcfa5eba1192/body,date,['1894-02-20T00:00:00+00:00'],1894-95,11
https://mbdiaries.itatti.harvard.edu/annotation/5257c410-3744-4aeb-bd50-dcfa5eba1192/body,date,['1894-02-20T00:00:00+00:00'],1894-95,11
https://mbdiaries.itatti.harvard.edu/annotation/5257c410-3744-4aeb-bd50-dcfa5eba1192/body,date,['1894-02-20T00:00:00+00:00'],1894-95,11
https://mbdiaries.itatti.harvard.edu/annotation/553fd363-9135-4ec4-950f-f4cda8e4f9c1/body,place,"['https://www.wikidata.org/wiki/Q15076422', 'https://www.geonames.org/10278901']",1894-95,11
https://mbdiaries.itatti.harvard.edu/annotation/b5fd05fe-8370-4ab7-aec2-bca8a0f6c2b7/body,date,['1894-02-22T00:00:00+00:00'],1894-95,12
https://mbdiaries.itatti.harvard.edu/annotation/98f62d6c-560a-4e81-8d06-49ae74b52c0f/body,place,"['https://www.wikidata.org/wiki/Q844337', 'https://www.geonames.org/3167953']",1894-95,12
https://mbdiaries.itatti.harvard.edu/annotation/b5fd05fe-8370-4ab7-aec2-bca8a0f6c2b7/body,date,['1894-02-22T00:00:00+00:00'],1894-95,12
https://mbdiaries.itatti.harvard.edu/annotation/3f8edd17-f081-489b-b8e4-0cc76dd13abe/body,date,['1894-02-21T00:00:00+00:00'],1894-95,12
https://mbdiaries.itatti.harvard.edu/annotation/9aa3d8ce-db9b-4ede-94f4-512a67c05622/body,place,"['https://www.wikidata.org/wiki/Q3847525', 'https://www.geonames.org/10395465']",1894-95,12
https://mbdiaries.itatti.harvard.edu/annotation/801f9c22-0b73-4d77-8b19-7eae752f3eeb/body,place,"['https://www.wikidata.org/wiki/Q1972559', 'https://www.geonames.org/6542159']",1894-95,12
https://mbdiaries.itatti.harvard.edu/annotation/8c80306f-49af-47b9-8202-4f6f1d4cb6ce/body,place,"['https://www.wikidata.org/wiki/Q3847525', 'https://www.geonames.org/10395465']",1894-95,12
https://mbdiaries.itatti.harvard.edu/annotation/3f8edd17-f081-489b-b8e4-0cc76dd13abe/body,date,['1894-02-21T00:00:00+00:00'],1894-95,12
https://mbdiaries.itatti.harvard.edu/annotation/fb610d04-a4b1-46cf-aa3b-17f6bd7d77d8/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,12
https://mbdiaries.itatti.harvard.edu/annotation/3f8edd17-f081-489b-b8e4-0cc76dd13abe/body,date,['1894-02-21T00:00:00+00:00'],1894-95,12
https://mbdiaries.itatti.harvard.edu/annotation/b5fd05fe-8370-4ab7-aec2-bca8a0f6c2b7/body,date,['1894-02-22T00:00:00+00:00'],1894-95,12
https://mbdiaries.itatti.harvard.edu/annotation/e76e9330-0736-4a20-97fa-74f4aad19322/body,place,"['https://www.wikidata.org/wiki/Q3847525', 'https://www.geonames.org/10395465']",1894-95,12
https://mbdiaries.itatti.harvard.edu/annotation/f2e9d925-2ffa-4c76-bf5a-81949e59c6c9/body,date,['1894-02-24T00:00:00+00:00'],1894-95,13
https://mbdiaries.itatti.harvard.edu/annotation/ed0b4075-a935-4724-bcc3-f344531a716c/body,place,"['https://www.wikidata.org/wiki/Q2778991', 'https://www.geonames.org/3172094']",1894-95,13
https://mbdiaries.itatti.harvard.edu/annotation/5de9fa04-274a-46f3-9351-0cb8ea2ff9b8/body,date,['1894-02-23T00:00:00+00:00'],1894-95,13
https://mbdiaries.itatti.harvard.edu/annotation/ff64e0b7-6a21-476f-aba4-de199d56630f/body,place,"['https://www.wikidata.org/wiki/Q162633', 'https://www.geonames.org/6691855']",1894-95,13
https://mbdiaries.itatti.harvard.edu/annotation/1cc078d8-1688-469c-bad3-0014720a19a3/body,place,"['https://www.wikidata.org/wiki/Q30031688', 'https://www.geonames.org/3164433']",1894-95,14
https://mbdiaries.itatti.harvard.edu/annotation/1ab7fbf3-fba2-4471-b491-03195f2574a7/body,place,"['https://www.wikidata.org/wiki/Q30031688', 'https://www.geonames.org/3164433']",1894-95,14
https://mbdiaries.itatti.harvard.edu/annotation/27a2bd13-3ba9-4a82-8a8e-0eca2cbf4726/body,place,"['https://www.wikidata.org/wiki/Q30031688', 'https://www.geonames.org/3164433']",1894-95,14
https://mbdiaries.itatti.harvard.edu/annotation/b95a2b40-91e3-4407-9529-eb67fdfb71f7/body,date,['1894-02-25T00:00:00+00:00'],1894-95,14
https://mbdiaries.itatti.harvard.edu/annotation/6bbbdba7-2cb3-4cfc-9969-a748e90bce1c/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,14
https://mbdiaries.itatti.harvard.edu/annotation/8d5f60a2-77a2-46dd-bb48-8deb3cee6968/body,date,['1894-02-28T00:00:00+00:00'],1894-95,14
https://mbdiaries.itatti.harvard.edu/annotation/2fb64817-8c9b-4168-9805-b1e3ac8aeb10/body,date,['1894-02-26T00:00:00+00:00'],1894-95,14
https://mbdiaries.itatti.harvard.edu/annotation/da498c88-73d3-4b30-aad8-bf36404acb3f/body,date,['1894-02-27T00:00:00+00:00'],1894-95,14
https://mbdiaries.itatti.harvard.edu/annotation/f44ca1e3-7956-44ae-b2d9-7503dd124c25/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,15
https://mbdiaries.itatti.harvard.edu/annotation/68996ae3-07f1-4c68-9903-5b9690b67aee/body,date,['1894-03-01T00:00:00+00:00'],1894-95,15
https://mbdiaries.itatti.harvard.edu/annotation/eca35533-3443-4474-8aae-a0783a21e1db/body,date,['1894-03-02T00:00:00+00:00'],1894-95,15
https://mbdiaries.itatti.harvard.edu/annotation/5e1ae5ca-cd58-4f6a-a157-ee6377592681/body,place,"['https://www.wikidata.org/wiki/Q30031688', 'https://www.geonames.org/3164433']",1894-95,15
https://mbdiaries.itatti.harvard.edu/annotation/a8e044ca-8004-459e-a5b2-e6d8128cc382/body,date,['1894-03-03T00:00:00+00:00'],1894-95,16
https://mbdiaries.itatti.harvard.edu/annotation/cb9acab5-5acb-46b2-90eb-3dd6bc3b40b5/body,date,['1894-03-04T00:00:00+00:00'],1894-95,16
https://mbdiaries.itatti.harvard.edu/annotation/1ea57c04-edab-4db6-bb8d-94e862fca1e1/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,16
https://mbdiaries.itatti.harvard.edu/annotation/a8e044ca-8004-459e-a5b2-e6d8128cc382/body,date,['1894-03-03T00:00:00+00:00'],1894-95,16
https://mbdiaries.itatti.harvard.edu/annotation/c5d6df3d-190a-4552-a5cc-bc33953cd34a/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,16
https://mbdiaries.itatti.harvard.edu/annotation/ef6343b6-394a-4a79-a805-24f0584026b6/body,place,"['https://www.wikidata.org/wiki/Q1114368', 'https://www.geonames.org/5292958']",1894-95,16
https://mbdiaries.itatti.harvard.edu/annotation/ab9407ce-f31a-4374-b643-ec947bd2e10b/body,place,"['https://www.wikidata.org/wiki/Q3637821', 'https://www.geonames.org/3182211']",1894-95,17
https://mbdiaries.itatti.harvard.edu/annotation/f0568c15-5187-496e-9c1d-1ee6616a45e4/body,date,['1894-03-06T00:00:00+00:00'],1894-95,17
https://mbdiaries.itatti.harvard.edu/annotation/f0568c15-5187-496e-9c1d-1ee6616a45e4/body,date,['1894-03-06T00:00:00+00:00'],1894-95,17
https://mbdiaries.itatti.harvard.edu/annotation/addf2153-d9eb-4c1f-9c0e-190de7f19af9/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,17
https://mbdiaries.itatti.harvard.edu/annotation/11cc40b0-bbf9-4807-b987-38a324e5df82/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,17
https://mbdiaries.itatti.harvard.edu/annotation/94f19951-569a-4c6b-be4a-1127612190b5/body,date,['1894-03-05T00:00:00+00:00'],1894-95,17
https://mbdiaries.itatti.harvard.edu/annotation/0221af01-fc5a-4738-a777-f8b0ce125f86/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,18
https://mbdiaries.itatti.harvard.edu/annotation/19438b0e-32b5-426e-9e7f-90e25af74b2d/body,date,['1894-03-07T00:00:00+00:00'],1894-95,18
https://mbdiaries.itatti.harvard.edu/annotation/fa5e37c0-9ce9-466a-9a26-fcbd43d82bf6/body,place,"['https://www.wikidata.org/wiki/Q1519975', 'https://www.geonames.org/6542279']",1894-95,19
https://mbdiaries.itatti.harvard.edu/annotation/7e6709a9-e881-46d4-9b64-9f8ccc801a58/body,date,['1894-03-08T00:00:00+00:00'],1894-95,19
https://mbdiaries.itatti.harvard.edu/annotation/92d15228-d6ff-47b4-b675-eff94a852646/body,place,"['https://www.wikidata.org/wiki/Q2778991', 'https://www.geonames.org/3172094']",1894-95,19
https://mbdiaries.itatti.harvard.edu/annotation/7e6709a9-e881-46d4-9b64-9f8ccc801a58/body,date,['1894-03-08T00:00:00+00:00'],1894-95,19
https://mbdiaries.itatti.harvard.edu/annotation/a71778eb-f76c-4185-9c08-0fca727e8d50/body,place,"['https://www.wikidata.org/wiki/Q51252', 'https://www.geonames.org/6295660']",1894-95,20
https://mbdiaries.itatti.harvard.edu/annotation/9db9f956-3c9a-4610-9aee-e17f147e782f/body,date,['1894-03-09T00:00:00+00:00'],1894-95,20
https://mbdiaries.itatti.harvard.edu/annotation/9db9f956-3c9a-4610-9aee-e17f147e782f/body,date,['1894-03-09T00:00:00+00:00'],1894-95,20
https://mbdiaries.itatti.harvard.edu/annotation/49d839f1-5e0d-4766-b60c-7771e49ac226/body,place,"['https://www.wikidata.org/wiki/Q15076422', 'https://www.geonames.org/10278901']",1894-95,20
https://mbdiaries.itatti.harvard.edu/annotation/9db9f956-3c9a-4610-9aee-e17f147e782f/body,date,['1894-03-09T00:00:00+00:00'],1894-95,20
https://mbdiaries.itatti.harvard.edu/annotation/abd96fd8-1d63-456c-bcaf-fe1649da4b69/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,20
https://mbdiaries.itatti.harvard.edu/annotation/94701e74-6f8e-4c66-b5d7-f7d7b4173412/body,date,['1894-03-10T00:00:00+00:00'],1894-95,20
https://mbdiaries.itatti.harvard.edu/annotation/d7d5dad3-8960-4ec9-a013-481180a563f9/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,20
https://mbdiaries.itatti.harvard.edu/annotation/94701e74-6f8e-4c66-b5d7-f7d7b4173412/body,date,['1894-03-10T00:00:00+00:00'],1894-95,20
https://mbdiaries.itatti.harvard.edu/annotation/532d60df-3ad4-4fad-b5c8-191b2a0b84ee/body,place,"['https://www.wikidata.org/wiki/Q1996075', 'https://www.geonames.org/6691198']",1894-95,20
https://mbdiaries.itatti.harvard.edu/annotation/5eb1fc55-7ff7-480b-b76a-a35093498bfe/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,21
https://mbdiaries.itatti.harvard.edu/annotation/a1a9e8fa-1afa-4c52-bba1-822b86fc51fb/body,date,['1894-03-17T00:00:00+00:00'],1894-95,21
https://mbdiaries.itatti.harvard.edu/annotation/65abdb7f-68d3-495f-b2eb-7bd84f2fa751/body,date,['1894-03-18T00:00:00+00:00'],1894-95,23
https://mbdiaries.itatti.harvard.edu/annotation/056a920a-a094-405a-8173-90d8be30cb2a/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,23
https://mbdiaries.itatti.harvard.edu/annotation/497fd0b4-6bfa-4a2f-9865-bc77b3bcaacd/body,date,['1894-03-19T00:00:00+00:00'],1894-95,23
https://mbdiaries.itatti.harvard.edu/annotation/ea7addb6-703c-4fad-9fd3-c7e1b50c1cfc/body,place,"['https://www.wikidata.org/wiki/Q1007870', 'https://www.geonames.org/6942924']",1894-95,23
https://mbdiaries.itatti.harvard.edu/annotation/48310a77-4a53-40af-b099-1382787b0d81/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,23
https://mbdiaries.itatti.harvard.edu/annotation/497fd0b4-6bfa-4a2f-9865-bc77b3bcaacd/body,date,['1894-03-19T00:00:00+00:00'],1894-95,23
https://mbdiaries.itatti.harvard.edu/annotation/985affe6-caf4-4500-be66-14d4a8ec5db5/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,24
https://mbdiaries.itatti.harvard.edu/annotation/7b46278a-df89-47db-b1b0-20206a42e8aa/body,place,"['https://www.wikidata.org/wiki/Q600355', 'https://www.geonames.org/9175837']",1894-95,24
https://mbdiaries.itatti.harvard.edu/annotation/e969d28a-0f14-4136-8be5-a927ece79dee/body,date,['1894-03-21T00:00:00+00:00'],1894-95,24
https://mbdiaries.itatti.harvard.edu/annotation/3fb0bc7e-d08c-4972-a0f3-401be8c5715c/body,date,['1894-03-20T00:00:00+00:00'],1894-95,24
https://mbdiaries.itatti.harvard.edu/annotation/d8094c80-2f04-4f4b-9a54-d778b5bfb5ed/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,24
https://mbdiaries.itatti.harvard.edu/annotation/e969d28a-0f14-4136-8be5-a927ece79dee/body,date,['1894-03-21T00:00:00+00:00'],1894-95,24
https://mbdiaries.itatti.harvard.edu/annotation/e409b37c-c4a4-4fdd-aa12-b85da95c593c/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,26
https://mbdiaries.itatti.harvard.edu/annotation/9dda13a3-dad2-4fcf-9387-017d61f80a91/body,date,['1894-03-22T00:00:00+00:00'],1894-95,26
https://mbdiaries.itatti.harvard.edu/annotation/c60fa899-b0eb-4739-a9a8-e1c56fc0e61f/body,place,"['https://www.wikidata.org/wiki/Q103244', 'https://www.geonames.org/3167953']",1894-95,27
https://mbdiaries.itatti.harvard.edu/annotation/d4d08683-f681-4f11-bf2e-f8dc6d793170/body,date,['1894-03-23T00:00:00+00:00'],1894-95,27
https://mbdiaries.itatti.harvard.edu/annotation/7823c19c-1bd3-43d2-a6de-bc25588654a5/body,place,"['https://www.wikidata.org/wiki/Q82378', 'https://www.geonames.org/3176722']",1894-95,28
https://mbdiaries.itatti.harvard.edu/annotation/2f505cbb-d158-4b85-ba68-6628774af0ee/body,date,['1894-03-24T00:00:00+00:00'],1894-95,28
https://mbdiaries.itatti.harvard.edu/annotation/3e00a298-259a-4c9c-a86c-105740056dea/body,date,['1894-03-25T00:00:00+00:00'],1894-95,28
https://mbdiaries.itatti.harvard.edu/annotation/f895a755-d8f9-49ad-8e2d-3c70cc4c79bd/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,28
https://mbdiaries.itatti.harvard.edu/annotation/2f505cbb-d158-4b85-ba68-6628774af0ee/body,date,['1894-03-24T00:00:00+00:00'],1894-95,28
https://mbdiaries.itatti.harvard.edu/annotation/ad8db9e3-8719-4c42-a12d-ce986ba67f16/body,place,"['https://www.wikidata.org/wiki/Q3944859', 'https://www.geonames.org/3168070']",1894-95,28
https://mbdiaries.itatti.harvard.edu/annotation/2f505cbb-d158-4b85-ba68-6628774af0ee/body,date,['1894-03-24T00:00:00+00:00'],1894-95,28
https://mbdiaries.itatti.harvard.edu/annotation/f895a755-d8f9-49ad-8e2d-3c70cc4c79bd/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,28
https://mbdiaries.itatti.harvard.edu/annotation/7fdb50a5-22d5-4296-820d-991393dde92a/body,place,"['https://www.wikidata.org/wiki/Q3892513', 'https://www.geonames.org/3171475']",1894-95,29
https://mbdiaries.itatti.harvard.edu/annotation/84d61951-274a-4eca-b214-bb5a9e9a2a86/body,date,['1894-03-26T00:00:00+00:00'],1894-95,29
https://mbdiaries.itatti.harvard.edu/annotation/667dbba3-651b-411b-823e-3f072f74d8a2/body,place,"['https://www.wikidata.org/wiki/Q123989847', 'https://www.geonames.org/3176959']",1894-95,29
https://mbdiaries.itatti.harvard.edu/annotation/52b40308-85c1-4a6f-9fdb-8f6753f891fc/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,29
https://mbdiaries.itatti.harvard.edu/annotation/84d61951-274a-4eca-b214-bb5a9e9a2a86/body,date,['1894-03-26T00:00:00+00:00'],1894-95,29
https://mbdiaries.itatti.harvard.edu/annotation/84d61951-274a-4eca-b214-bb5a9e9a2a86/body,date,['1894-03-26T00:00:00+00:00'],1894-95,29
https://mbdiaries.itatti.harvard.edu/annotation/1706a9aa-189f-41ef-91e0-ae2070e80fb5/body,place,"['https://www.wikidata.org/wiki/Q888825', 'https://www.geonames.org/7602824']",1894-95,30
https://mbdiaries.itatti.harvard.edu/annotation/48606c70-1ff8-448a-9b59-e0be58f25257/body,date,['1894-03-30T00:00:00+00:00'],1894-95,30
https://mbdiaries.itatti.harvard.edu/annotation/6a4ea857-e4fc-4791-b054-568137824dc0/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,30
https://mbdiaries.itatti.harvard.edu/annotation/5de171d5-d02f-4db5-b058-e4e30c397097/body,place,"['https://www.wikidata.org/wiki/Q3795987', 'https://www.geonames.org/3174244']",1894-95,30
https://mbdiaries.itatti.harvard.edu/annotation/ed08ec56-2312-43dc-8e60-2b140db91107/body,date,['1894-03-27T00:00:00+00:00'],1894-95,30
https://mbdiaries.itatti.harvard.edu/annotation/9a99b38e-fa23-4ffd-b1e3-7f15776ac32a/body,place,"['https://www.wikidata.org/wiki/Q1438759', 'https://www.geonames.org/6542138']",1894-95,30
https://mbdiaries.itatti.harvard.edu/annotation/b9cc3ac5-52af-400c-9244-05dbbb2ec128/body,date,['1894-03-31T00:00:00+00:00'],1894-95,31
https://mbdiaries.itatti.harvard.edu/annotation/d5664256-ef71-4300-9f18-b57a17eb6c74/body,place,"['https://www.wikidata.org/wiki/Q18487093', 'https://www.geonames.org/9032176']",1894-95,31
https://mbdiaries.itatti.harvard.edu/annotation/7f3587c6-389f-4672-8a29-a3876b0f7bff/body,place,"['https://www.wikidata.org/wiki/Q18487093', 'https://www.geonames.org/9032176']",1894-95,32
https://mbdiaries.itatti.harvard.edu/annotation/7cdd6e33-6cb4-4116-b75a-3e56a6bdadef/body,date,['1894-04-01T00:00:00+00:00'],1894-95,32
https://mbdiaries.itatti.harvard.edu/annotation/6be2a946-1e55-4080-93f8-7200b6903ea5/body,date,['0000-00-00T00:00:00:000Z'],1894-95,33
https://mbdiaries.itatti.harvard.edu/annotation/789c2262-09a7-445f-bc06-0104698c3f15/body,place,"['https://www.wikidata.org/wiki/Q570044', 'https://www.geonames.org/5281551']",1894-95,33
https://mbdiaries.itatti.harvard.edu/annotation/821f1378-35c7-4b3b-9165-19339a062258/body,place,"['https://www.wikidata.org/wiki/Q18389', 'https://www.geonames.org/11919979']",1894-95,33
https://mbdiaries.itatti.harvard.edu/annotation/6be2a946-1e55-4080-93f8-7200b6903ea5/body,date,['0000-00-00T00:00:00:000Z'],1894-95,33
https://mbdiaries.itatti.harvard.edu/annotation/6be2a946-1e55-4080-93f8-7200b6903ea5/body,date,['0000-00-00T00:00:00:000Z'],1894-95,33
https://mbdiaries.itatti.harvard.edu/annotation/1a488d7f-ca38-407e-a42b-f2d15e4dfade/body,place,"['https://www.wikidata.org/wiki/Q570044', 'https://www.geonames.org/5281551']",1894-95,33
https://mbdiaries.itatti.harvard.edu/annotation/1b6fce60-5141-4672-a547-c473e12e8f4a/body,place,"['https://www.wikidata.org/wiki/Q18389', 'https://www.geonames.org/11919979']",1894-95,33
https://mbdiaries.itatti.harvard.edu/annotation/6be2a946-1e55-4080-93f8-7200b6903ea5/body,date,['0000-00-00T00:00:00:000Z'],1894-95,33
https://mbdiaries.itatti.harvard.edu/annotation/acd0351b-3f19-4982-9df1-a4477301ba0d/body,date,['1894-04-02T00:00:00+00:00'],1894-95,34
https://mbdiaries.itatti.harvard.edu/annotation/a9703670-0231-41d4-af65-b9115fefbd9f/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,34
https://mbdiaries.itatti.harvard.edu/annotation/acd0351b-3f19-4982-9df1-a4477301ba0d/body,date,['1894-04-02T00:00:00+00:00'],1894-95,34
https://mbdiaries.itatti.harvard.edu/annotation/2bebb43a-4a96-464a-98ca-7cb4c9714c4c/body,place,"['https://www.wikidata.org/wiki/', 'https://www.geonames.org/8974686']",1894-95,34
https://mbdiaries.itatti.harvard.edu/annotation/f06c942a-1115-4b15-bb14-d04a01a8c711/body,date,['1894-04-03T00:00:00+00:00'],1894-95,35
https://mbdiaries.itatti.harvard.edu/annotation/6d0f8cb7-cc84-43a8-81dd-bb0991363537/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,35
https://mbdiaries.itatti.harvard.edu/annotation/44f9e8bb-2afb-4746-ae0a-40ec14d12f84/body,place,"['https://www.wikidata.org/wiki/Q13365', 'https://www.geonames.org/3176722']",1894-95,35
https://mbdiaries.itatti.harvard.edu/annotation/f06c942a-1115-4b15-bb14-d04a01a8c711/body,date,['1894-04-03T00:00:00+00:00'],1894-95,35
https://mbdiaries.itatti.harvard.edu/annotation/641f96f0-6eb4-4465-9851-cd08886a1d88/body,date,['1894-04-04T00:00:00+00:00'],1894-95,36
https://mbdiaries.itatti.harvard.edu/annotation/8e4825bf-cca5-4519-b2d5-2ba7c92a70af/body,place,"['https://www.wikidata.org/wiki/', 'https://www.geonames.org/']",1894-95,36
https://mbdiaries.itatti.harvard.edu/annotation/6691d687-dedf-48fd-8d9b-c4f5a21c04f9/body,date,['1894-04-06T00:00:00+00:00'],1894-95,38
https://mbdiaries.itatti.harvard.edu/annotation/162fb56e-33ac-4661-b32c-58b6d5027060/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,38
https://mbdiaries.itatti.harvard.edu/annotation/73d67669-b984-45f2-b2bb-fec3e6617336/body,place,"['https://www.wikidata.org/wiki/Q2044', 'https://www.geonames.org/3176959']",1894-95,38
https://mbdiaries.itatti.harvard.edu/annotation/09beae2f-e7da-441c-b574-c31a80c71b98/body,date,['1894-04-05T00:00:00+00:00'],1894-95,38
https://mbdiaries.itatti.harvard.edu/annotation/09beae2f-e7da-441c-b574-c31a80c71b98/body,date,['1894-04-05T00:00:00+00:00'],1894-95,38
https://mbdiaries.itatti.harvard.edu/annotation/79b876f0-1e51-4692-8077-322e04cd2d04/body,place,"['https://www.wikidata.org/wiki/', 'https://www.geonames.org/']",1894-95,38
https://mbdiaries.itatti.harvard.edu/annotation/24e9e926-6bd6-4e7d-8234-56f3adec43f8/body,place,"['https://www.wikidata.org/wiki/Q844337', 'https://www.geonames.org/3167953']",1894-95,39
