when,where,who
https://mbdiaries.itatti.harvard.edu/annotation/6314d4a0-022a-4f9a-be7d-9cab283956b7/body,https://mbdiaries.itatti.harvard.edu/annotation/2a83e124-b636-44ca-941b-7017932cc9a9/body,114_event_d8c7e7a0-f9a6-4f9e-9f3f-e9a8d4c8d9c1.trig
https://mbdiaries.itatti.harvard.edu/annotation/b20060c1-e963-42f0-9d96-03146d9cc04e/body,https://www.wikidata.org/wiki/Q5361/body,110_event_e4b233f4-430c-4822-b6dc-c312d9aabb12.trig
https://mbdiaries.itatti.harvard.edu/annotation/52565187-8683-49fa-bb61-ee70d37a00a6/body,https://mbdiaries.itatti.harvard.edu/annotation/a1914f7b-d236-46c3-831a-b452e7751d39/body,67_event_c8c8d9c8-9d5d-4a7a-9f9f-a3f2c0e5d7c3.trig
https://mbdiaries.itatti.harvard.edu/annotation/ec7efb4b-c718-4d31-a25f-b01848cb84e7/body,https://mbdiaries.itatti.harvard.edu/annotation/e2fd0817-cebc-461b-9dad-a3cd161703d6/body,65_event_a1b2c3d4-e5f6-7890-a1b2-c3d4e5f67890.trig
https://mbdiaries.itatti.harvard.edu/annotation/fc7bf379-515d-4a43-9871-7df6d05ca344/body,https://mbdiaries.itatti.harvard.edu/annotation/b4792521-bccc-4464-bd84-f6795da5586f/body,10_event_e1d6d9a0-f8c4-4c8f-9d7e-308f07e1d6c6.trig
https://mbdiaries.itatti.harvard.edu/annotation/edf97491-f855-4c62-b9bb-3ad00449f87b/body,https://www.wikidata.org/wiki/Q5361/body,110_event_f8d3b63c-b753-4d1a-9bb2-4135d66335a6.trig
https://mbdiaries.itatti.harvard.edu/annotation/6d4f4570-ef7b-495d-9615-c7280f05c716/body,https://mbdiaries.itatti.harvard.edu/annotation/7f9da1bd-44bb-47d5-8a40-0c39cb271eda/body,186_event_d6f9d7f6-f5c3-4f9f-9f5d-c0f6d3f8f5c3.trig
https://mbdiaries.itatti.harvard.edu/annotation/None/body,https://mbdiaries.itatti.harvard.edu/annotation/412a4f9b-5d30-4b64-b84b-12ccd893d07b/body,183_event_d9d8f7d5-f9c9-4d9f-9c7f-a0d2d9f7c9a6.trig
https://mbdiaries.itatti.harvard.edu/annotation/dd27fabd-8bf2-4906-9276-dc4b88427dfa/body,https://mbdiaries.itatti.harvard.edu/annotation/579d5dbc-8363-4b89-8804-a630e46354d4/body,77_event_e7b6d7a0-f9d4-4f9f-9f9d-c8a9d6f1d5c3.trig
https://mbdiaries.itatti.harvard.edu/annotation/c99967ad-b1cc-4254-a72d-26fd24e7e8f8/body,https://mbdiaries.itatti.harvard.edu/annotation/72b36dc3-9f74-4c53-b661-465be1f4051b/body,174_event_f9b9f6d9-d9d8-d44d-9f9d-9df6f9b9f6b9.trig
https://mbdiaries.itatti.harvard.edu/annotation/6691d687-dedf-48fd-8d9b-c4f5a21c04f9/body,https://mbdiaries.itatti.harvard.edu/annotation/162fb56e-33ac-4661-b32c-58b6d5027060/body,38_event_a8f0d2b4-9d9a-4f7f-9f6f-c1d6d7a6e9e3.trig
https://mbdiaries.itatti.harvard.edu/annotation/940bb6b2-7d70-442a-abc0-384b54775ff5/body,https://mbdiaries.itatti.harvard.edu/annotation/3e25e1e1-0d6c-433d-a9c3-20b410fce68a/body,70_event_3f8d4b6e-f9a0-4c9f-9d7f-2a3a5c9a6c1a.trig
https://mbdiaries.itatti.harvard.edu/annotation/5a0ffdf2-f4c5-42e2-a271-6ff817e5a118/body,https://mbdiaries.itatti.harvard.edu/annotation/f796050e-e6e9-4c0f-8a79-a31e439b2c55/body,54_event_d8d7f9c0-f7f6-4f9f-9d6f-d6f3c9a1d2e7.trig
https://mbdiaries.itatti.harvard.edu/annotation/a1c1b576-b0a6-421f-9663-ea73c81f6b19/body,https://mbdiaries.itatti.harvard.edu/annotation/9de5f5f3-6c0d-40ca-8e9a-eaae5109529c/body,90_event_a7f4d9c6-9d3f-4d6a-b7c1-d5f5d3f2d9c7.trig
https://mbdiaries.itatti.harvard.edu/annotation/355f3b5b-4143-4b1e-b723-3ee979a7aa70/body,https://mbdiaries.itatti.harvard.edu/annotation/3ea1c968-bb1a-447e-ac29-f7590b81f3ca/body,75_event_3d73c8f2-9d1b-4c9a-9d9a-b8b0b5f6e1a6.trig
https://mbdiaries.itatti.harvard.edu/annotation/m5n6o7p8-q9r0-s1t2-u3v4-w5x6y7z8a9b0/body,https://mbdiaries.itatti.harvard.edu/annotation/275bdc82-e877-406a-8651-41997d60dd02/body,96_event_w9x0y1z2-a3b4-c5d6-e7f8-g9h0i1j2k3l4.trig
https://mbdiaries.itatti.harvard.edu/annotation/813c6f7b-e001-4b45-80d6-baed8ba8be86/body,https://mbdiaries.itatti.harvard.edu/annotation/14e3030d-1949-4207-9a57-ab5ad4cc0f76/body,183_event_813c6f7b-e001-4b45-80d6-baed8ba8be86.trig
https://mbdiaries.itatti.harvard.edu/annotation/8dde2ce7-d203-4631-a5b0-c8f3eb122f85/body,https://mbdiaries.itatti.harvard.edu/annotation/4d6852e1-3578-44db-9a97-06c379874dd5/body,76_event_f3e7d9c1-8f9d-4f9f-9d9d-d8f3d5a6e7b2.trig
https://mbdiaries.itatti.harvard.edu/annotation/69d48970-96ec-4e70-851b-c54e7f02f8c3/body,https://mbdiaries.itatti.harvard.edu/annotation/c6e77b77-e504-47b0-bc91-654942816d50/body,99_event_e4a7b8dc-f2c3-4a9c-9e7d-5d7f6bf93d6b.trig
https://mbdiaries.itatti.harvard.edu/annotation/7b7eb625-0cbd-4dff-84b7-4164963d885f/body,https://mbdiaries.itatti.harvard.edu/annotation/10a17ed4-14a1-413d-a9b1-27f00abca5be/body,76_event_d9c1e7b2-8f9d-4f9f-9d9d-d8f3d5a6e7b2.trig
https://mbdiaries.itatti.harvard.edu/annotation/d1d84e5e-59ac-4c25-b63c-2d0001c4d55f/body,https://mbdiaries.itatti.harvard.edu/annotation/26afbe66-1588-4816-8643-497fd9d9db07/body,94_event_d8d8f7a4-9d3b-4f9a-9d7d-2c53f9a6d1e4.trig
https://mbdiaries.itatti.harvard.edu/annotation/5f6fc89a-8666-419a-ba63-21c9b700f476/body,https://mbdiaries.itatti.harvard.edu/annotation/be788443-883b-4e9b-8624-63640604d05c/body,186_event_f6f5c3d6-f9d7-4f9f-9f5d-c0f6d3f8f5c3.trig
https://mbdiaries.itatti.harvard.edu/annotation/884a10cf-fd15-42ca-afa8-ad7225cd712e/body,https://mbdiaries.itatti.harvard.edu/annotation//body,105_event_d8d8f6a0-9d7a-4c0f-9f0d-a9d6d9d4d0d4.trig
https://mbdiaries.itatti.harvard.edu/annotation/931afb2f-ce9c-48fe-b3f8-35de8e06bc69/body,https://mbdiaries.itatti.harvard.edu/annotation/None/body,115_event_d9d6f1f1-f9f1-4f9f-9f9d-c8f6d3b0d9a7.trig
https://mbdiaries.itatti.harvard.edu/annotation/3c758d07-35b3-456f-9876-d8da59aae913/body,https://mbdiaries.itatti.harvard.edu/annotation/311d24f8-98da-4274-9ecd-9a8cd66002d3/body,184_event_b7f9d6e4-8d7a-4f8f-b9d2-f6e8d3c1b6a0.trig
https://mbdiaries.itatti.harvard.edu/annotation/2fb64817-8c9b-4168-9805-b1e3ac8aeb10/body,https://mbdiaries.itatti.harvard.edu/annotation/27a2bd13-3ba9-4a82-8a8e-0eca2cbf4726/body,14_event_f6f7d9c6-f9d5-4d9f-b7d4-8f6c1e9d7c4d.trig
https://mbdiaries.itatti.harvard.edu/annotation/812f5bb9-ae09-4cce-8b2f-0c605b4035d9/body,https://mbdiaries.itatti.harvard.edu/annotation/913025fa-bbeb-4619-a48f-c30a63220a5b/body,159_event_f9d3d4c2-9d8b-4f1a-9c6d-d7c2f3f6d8d4.trig
https://mbdiaries.itatti.harvard.edu/annotation/f1177016-875b-4398-9c24-ea59e21b7947/body,https://mbdiaries.itatti.harvard.edu/annotation/2342b324-a6af-4478-969c-a1133e1ec595/body,78_event_a8f9d7d6-f4d4-4f9f-9f6f-d8f4d4d2f6f7.trig
https://mbdiaries.itatti.harvard.edu/annotation/a1b2c3d4-e5f6-g7h8-9j10-k1l2m3n4o5p6/body,https://mbdiaries.itatti.harvard.edu/annotation/275bdc82-e877-406a-8651-41997d60dd02/body,96_event_d8b1d7c6-f8d4-4e8a-9f7f-e9d6c4d6b4b4.trig
https://mbdiaries.itatti.harvard.edu/annotation/334850a6-9574-4066-972c-bf499b5e80f8/body,https://mbdiaries.itatti.harvard.edu/annotation/dbec4a97-ec32-41ef-ad14-f8c7d4a9209e/body,180_event_e7b3a9d5-f9c6-4f9f-9f5f-d8a0c5b0f2c4.trig
https://mbdiaries.itatti.harvard.edu/annotation/9975ab28-d94e-4451-b173-0967e78be52a/body,https://mbdiaries.itatti.harvard.edu/annotation/53856120-51d4-435e-a1ab-f5ef3f36abe7/body,188_event_e7b2a0c7-f9d5-4f9f-9f7a-8c6c8d5d7a3b.trig
https://mbdiaries.itatti.harvard.edu/annotation/b5def58f-8544-454d-adfd-97395085974a/body,https://mbdiaries.itatti.harvard.edu/annotation/c449a863-2923-4357-8479-f6d515ad1d9b/body,76_event_b2d9c1e7-8f9d-4f9f-9d9d-d8f3d5a6e7b2.trig
https://mbdiaries.itatti.harvard.edu/annotation/12cefd83-d5a5-4787-bb32-d87f559efbc0/body,https://mbdiaries.itatti.harvard.edu/annotation/14df40a1-7de0-4086-b221-15a85dc7e511/body,104_event_e4a7f9d0-f2d4-4c9f-9f7d-a0d6f7c1d5c7.trig
https://mbdiaries.itatti.harvard.edu/annotation/91c994ef-0a8b-441f-8135-8840a63fdef2/body,https://mbdiaries.itatti.harvard.edu/annotation/10d9c706-6536-48b4-b2aa-adf75fd7e0da/body,90_event_d8d7f9a0-f9d4-4d6f-9f4f-c1f9d3f2d9c6.trig
https://mbdiaries.itatti.harvard.edu/annotation/ed08ec56-2312-43dc-8e60-2b140db91107/body,https://mbdiaries.itatti.harvard.edu/annotation/6a4ea857-e4fc-4791-b054-568137824dc0/body,30_event_3e65f8dc-d757-11ed-b5ea-0242ac120002.trig
https://mbdiaries.itatti.harvard.edu/annotation/3f14b63c-074c-4ad6-9ebd-cf96cd1ae9ca/body,https://mbdiaries.itatti.harvard.edu/annotation/0a353643-04cd-4aeb-af18-dc9732cf9b3c/body,44_event_f1f4d9d6-9f9d-4d9f-9d9f-f6d9c6f1f4d9.trig
https://mbdiaries.itatti.harvard.edu/annotation/66f9a165-5444-4573-8bbd-f6d521650a96/body,https://mbdiaries.itatti.harvard.edu/annotation/e62837a9-09bb-4f38-b32f-09c0613b2ff6/body,150_event_d7d7f9f9-f9d6-4d9f-9d9f-d8f5d6f7c2c4.trig
https://mbdiaries.itatti.harvard.edu/annotation/09beae2f-e7da-441c-b574-c31a80c71b98/body,https://mbdiaries.itatti.harvard.edu/annotation/79b876f0-1e51-4692-8077-322e04cd2d04/body,38_event_f7a3d8c5-f8d9-4f8a-9d9c-e2c6d1d3a4b2.trig
https://mbdiaries.itatti.harvard.edu/annotation/88cf16a5-f531-487e-b2dd-a0a387d9d72d/body,https://mbdiaries.itatti.harvard.edu/annotation/c27ec75d-7df3-4dd3-9e63-2d297eec1876/body,53_event_f7e7b2d9-c0f3-4f9e-9d9a-d3f7e7b2d6f8.trig
https://mbdiaries.itatti.harvard.edu/annotation/c1fc0b7f-cab1-437a-9469-169cbedddeb5/body,https://mbdiaries.itatti.harvard.edu/annotation/23d69a34-2143-498c-b3e9-07fabd227e99/body,154_event_87654321-4321-8765-4321-876543218765.trig
https://mbdiaries.itatti.harvard.edu/annotation/d1d84e5e-59ac-4c25-b63c-2d0001c4d55f/body,https://mbdiaries.itatti.harvard.edu/annotation/651f8a4b-0137-4b5d-af71-63535c8ddbb8/body,94_event_3e7a3c7d-f7a0-4f9e-9d4f-5d3d5a6d7c31.trig
https://mbdiaries.itatti.harvard.edu/annotation/b8795200-39b8-45e4-ada7-bd35d67b8623/body,https://mbdiaries.itatti.harvard.edu/annotation/e5d36ebf-f78b-478c-95a0-951fcf79587f/body,49_event_23456789-bcde-2345-f001-678901234567.trig
https://mbdiaries.itatti.harvard.edu/annotation/940bb6b2-7d70-442a-abc0-384b54775ff5/body,https://mbdiaries.itatti.harvard.edu/annotation/85e62131-cf8f-4c6c-a4ac-d2b4e88183c5/body,70_event_d8d6d7c4-f9d3-4f8a-9d7a-b0b6f9f6d9e3.trig
https://mbdiaries.itatti.harvard.edu/annotation/86d6ed37-05d6-4b2e-8b2a-00d1b468cd2d/body,https://mbdiaries.itatti.harvard.edu/annotation/8151d07e-52fd-4d8e-b12d-a0314650b59f/body,181_event_f8a6e7d3-9d7f-4f1a-b9c6-0c8f0c8d2b8a.trig
https://mbdiaries.itatti.harvard.edu/annotation/84d61951-274a-4eca-b214-bb5a9e9a2a86/body,https://mbdiaries.itatti.harvard.edu/annotation/667dbba3-651b-411b-823e-3f072f74d8a2/body,29_event_a0f9b7d1-f8c5-4f9e-9f6d-d8a6c2e5b9e2.trig
https://mbdiaries.itatti.harvard.edu/annotation/c3a53ea9-3185-4daf-b01c-3ec71050cdfd/body,https://mbdiaries.itatti.harvard.edu/annotation/b7273bec-47b3-4269-be50-bf2b3803c8f9/body,39_event_e7b3d9d0-f9d4-4d9f-9d9f-d6f5f5f5f5f5.trig
https://mbdiaries.itatti.harvard.edu/annotation/76b61a7c-7e0e-4632-bcb5-44d6e9437802/body,https://mbdiaries.itatti.harvard.edu/annotation/c5ac80cd-f5af-49ad-8b34-51f8df6b7ac2/body,152_event_0987654321abcdef-0987-6543-210987654321.trig
https://mbdiaries.itatti.harvard.edu/annotation/29ecefa8-68b4-489d-b9cc-2797cb9c7554/body,https://mbdiaries.itatti.harvard.edu/annotation/25374bd4-4da2-4210-8be9-fef6626f9b00/body,190_event_e7b6d7a0-f1c9-4a5b-9f1f-d8a9d5c6e2f6.trig
https://mbdiaries.itatti.harvard.edu/annotation/975ec9e4-7ebe-490e-a606-0d91ed7178e4/body,https://mbdiaries.itatti.harvard.edu/annotation/25f9de98-bdb1-4ba1-b475-d900dfa9c497/body,102_event_b9a7e9f7-f8c2-4f9f-9d3a-f6d3c9d6d9c8.trig
https://mbdiaries.itatti.harvard.edu/annotation/874c663e-84a3-4839-8c12-baee368ea117/body,https://mbdiaries.itatti.harvard.edu/annotation/d9b078c8-6f82-49b7-8965-5e239a5026cc/body,122_event_3e0d8d8e-f9d6-4f9f-9c9f-d8c7d5b8d9c3.trig
https://mbdiaries.itatti.harvard.edu/annotation/a1a9e8fa-1afa-4c52-bba1-822b86fc51fb/body,https://mbdiaries.itatti.harvard.edu/annotation/5eb1fc55-7ff7-480b-b76a-a35093498bfe/body,21_event_e7b2d9c6-f9d4-4f9f-9f1d-c8d2a3f0d7e1.trig
https://mbdiaries.itatti.harvard.edu/annotation/0cb6e4f4-6f5d-4015-a0b1-4566f55893d9/body,https://mbdiaries.itatti.harvard.edu/annotation/f7f9bc5a-3b1b-44b1-8ee7-11b34e9495bb/body,70_event_f4b3d7c2-9a01-4d8c-9f1b-5f6d8fd6aa63.trig
https://mbdiaries.itatti.harvard.edu/annotation/1fb75430-01ec-4dd8-bf5d-d536a40d4f0a/body,https://mbdiaries.itatti.harvard.edu/annotation/8fbe89c3-6e8d-4067-8f5c-a47e4938fe97/body,120_event_3c8d1a9e-f8a4-4d7e-9d9a-5a6d5c8d1234.trig
https://mbdiaries.itatti.harvard.edu/annotation/9fd76a9a-82cf-4e16-9e30-a68f49fa5948/body,https://mbdiaries.itatti.harvard.edu/annotation/cb7beb0e-bcc9-471b-97b3-68c908a7af29/body,133_event_f8c4a7d3-9d3e-4d8f-b9d6-5a7f3d6d3d6d.trig
https://mbdiaries.itatti.harvard.edu/annotation/69499c98-77f4-4650-9195-afad7537703c/body,https://mbdiaries.itatti.harvard.edu/annotation/7b53d06d-08a8-491f-9f48-7d1a0b2f99b6/body,82_event_f9d6d9f6-f0c6-4f9a-9d6f-d1d6d5d5d0d0.trig
https://mbdiaries.itatti.harvard.edu/annotation/b20d9532-b895-44e2-b113-d8670019525d/body,https://mbdiaries.itatti.harvard.edu/annotation/3daae436-677d-4536-895a-df360391ec55/body,176_event_f7b3d2e5-9a9c-4d3f-b9c6-0d7f6a1d6b8a.trig
https://mbdiaries.itatti.harvard.edu/annotation/None/body,https://mbdiaries.itatti.harvard.edu/annotation/d61e1d58-7f59-4d22-bc63-2c30e84d43a8/body,183_event_d61e1d58-7f59-4d22-bc63-2c30e84d43a8.trig
https://mbdiaries.itatti.harvard.edu/annotation/11f3f9ac-6b81-41f0-a1a2-f33e9565f389/body,https://mbdiaries.itatti.harvard.edu/annotation/45a63721-afe8-4f1f-85d8-648a04ae9a84/body,56_event_45a63721-afe8-4f1f-85d8-648a04ae9a84.trig
https://mbdiaries.itatti.harvard.edu/annotation/812f5bb9-ae09-4cce-8b2f-0c605b4035d9/body,https://mbdiaries.itatti.harvard.edu/annotation/ca4b0a02-c5d8-47fd-8178-d87e25a01962/body,159_event_3e7a7f1a-5d8d-4d0b-9c0f-e9d3f7a8d9c4.trig
https://mbdiaries.itatti.harvard.edu/annotation/51386af9-4330-46f8-8a3f-4b3959893923/body,https://mbdiaries.itatti.harvard.edu/annotation/b43f2cb5-ab03-4a48-a676-addd4bd2d1f6/body,178_event_8f9d8f9d-8f9d-8f9d-8f9d-8f9d8f9d8f9d.trig
https://mbdiaries.itatti.harvard.edu/annotation/7a95d575-1eeb-4ad7-b7fc-b36a7c269fed/body,https://mbdiaries.itatti.harvard.edu/annotation/cc8bdc38-cab1-4168-9215-fa58e4790749/body,54_event_f8e1d9b2-9d6a-4f7f-b7c4-f2d6f9d3c1e5.trig
https://mbdiaries.itatti.harvard.edu/annotation/cf294786-b6b0-411c-b85f-33219f2d8355/body,https://mbdiaries.itatti.harvard.edu/annotation/f68393e7-61e5-4df4-93e9-f4a883944b4e/body,121_event_677a5c98-9a5d-4dad-9c3d-4fdd24d0e278.trig
https://mbdiaries.itatti.harvard.edu/annotation/e90f2d71-72ad-4ccf-b277-63c77ecf863e/body,https://mbdiaries.itatti.harvard.edu/annotation/bf9b2e58-8598-41be-b5fc-5ebd355e4c5d/body,106_event_f7d34abd-9a0c-4186-9d1a-5c53e9876543.trig
https://mbdiaries.itatti.harvard.edu/annotation/b5fd05fe-8370-4ab7-aec2-bca8a0f6c2b7/body,https://mbdiaries.itatti.harvard.edu/annotation/801f9c22-0b73-4d77-8b19-7eae752f3eeb/body,12_event_9d9ff9d6-d9f5-f6c6-4f9f-9d9ff9d6d9f5.trig
https://mbdiaries.itatti.harvard.edu/annotation/ffe296fe-d498-482b-b9a6-09968039e046/body,https://mbdiaries.itatti.harvard.edu/annotation/d5cc458a-464b-436f-8f75-dd150a67c84a/body,122_event_a3d8d9c6-5d8f-4f7f-9f7f-d8c7d5b8d9c3.trig
https://mbdiaries.itatti.harvard.edu/annotation/62509804-0aaa-48b3-aa02-cf4bb53383db/body,https://mbdiaries.itatti.harvard.edu/annotation/ddde42f3-1371-42d5-a7fa-dfa0133e3c32/body,10_event_f0d27b87-a8e0-4386-a951-e5e5fb28dcde.trig
https://mbdiaries.itatti.harvard.edu/annotation/71a4fcd4-0369-4b42-a322-f7628ff4e6b3/body,https://mbdiaries.itatti.harvard.edu/annotation/9319f0f2-a317-48b2-8bf1-f3ec41b347ad/body,46_event_f8a6c9d0-9d3f-4d6f-b7f2-4f5c5f5a0e7b.trig
https://mbdiaries.itatti.harvard.edu/annotation/None/body,https://mbdiaries.itatti.harvard.edu/annotation/9a99b38e-fa23-4ffd-b1e3-7f15776ac32a/body,30_event_3e65f8dc-d757-11ed-b5ea-0242ac120003.trig
https://mbdiaries.itatti.harvard.edu/annotation/b397b8fc-9d77-4c0e-950b-16d5894c4f4c/body,https://mbdiaries.itatti.harvard.edu/annotation/ae0b4fca-a889-40bb-bed7-4ccd6cdb630a/body,138_event_b9f6d9c2-f8d4-4f9f-9f7d-c8f2e4b9d7a1.trig
https://mbdiaries.itatti.harvard.edu/annotation/b3255835-f8f9-4608-9ec5-f09bd38dbcfb/body,https://mbdiaries.itatti.harvard.edu/annotation/b60be889-8d40-4f0d-8632-e4cfbd2a7e2e/body,161_event_d8d7f9a0-f9d4-4d6f-9f2d-f5f8d9f9d9d9.trig
https://mbdiaries.itatti.harvard.edu/annotation/None/body,https://mbdiaries.itatti.harvard.edu/annotation/74d4655b-09e7-45cf-8b3c-a9de84260a11/body,64_event_d8d8f7a4-9a6f-4c0c-9a9a-17e8c9b0f0a6.trig
https://mbdiaries.itatti.harvard.edu/annotation/e13cefe2-33cf-4aa5-b67b-9f54770f3d63/body,https://mbdiaries.itatti.harvard.edu/annotation/1e686289-306c-4a9f-9b67-640a1d0ef39d/body,68_event_j1k2l3m4-n5o6-p7q8-r9s0-t1u2v3w4x5y6.trig
https://mbdiaries.itatti.harvard.edu/annotation/6be2a946-1e55-4080-93f8-7200b6903ea5/body,https://mbdiaries.itatti.harvard.edu/annotation/821f1378-35c7-4b3b-9165-19339a062258/body,33_event_d7c6f8c8-4f9e-9d9f-f6d3-b6b4d9a4d8d9.trig
https://mbdiaries.itatti.harvard.edu/annotation/3a610a82-1038-4ea4-934a-7fce250687dc/body,https://mbdiaries.itatti.harvard.edu/annotation/bfe460fd-e005-4f23-a939-462a1e32e521/body,40_event_a1a1d7d6-9d9f-4e1f-9f5d-e6d6d9a6d9c6.trig
https://mbdiaries.itatti.harvard.edu/annotation/fed52881-eeac-46ed-8db3-a9d5e126f07a/body,https://mbdiaries.itatti.harvard.edu/annotation/e24b78b2-1c8a-483f-bfbe-82811f308481/body,57_event_f8d9d7e3-9d6f-4f9d-9d9f-d8f5c9f2d6c4.trig
https://mbdiaries.itatti.harvard.edu/annotation/e497dce9-05c4-44d4-a843-c3c8b0fdff76/body,https://mbdiaries.itatti.harvard.edu/annotation/d741e041-06b0-4e38-b8d3-e0a7df29b1cf/body,42_event_0cb61523-36bf-46c0-9349-6dab4afaca37.trig
https://mbdiaries.itatti.harvard.edu/annotation/eb587d02-4522-4100-8677-8c5a180bc697/body,https://mbdiaries.itatti.harvard.edu/annotation/59c38fd3-2c4d-48fa-9129-0ab6315b76f6/body,84_event_d8c7e7a1-f9c9-4e1f-9a3e-8d6f6e0a6d5b.trig
https://mbdiaries.itatti.harvard.edu/annotation/7e6709a9-e881-46d4-9b64-9f8ccc801a58/body,https://mbdiaries.itatti.harvard.edu/annotation/fa5e37c0-9ce9-466a-9a26-fcbd43d82bf6/body,19_event_d8d6d6f0-9c4f-4f9e-9d6f-f6f3b7c9d9c1.trig
https://mbdiaries.itatti.harvard.edu/annotation/2563af58-7682-467b-a4d5-3a54dec2ee32/body,https://mbdiaries.itatti.harvard.edu/annotation/263e6dec-1b6d-4734-81bc-bc2507a1e6c4/body,178_event_d8d7f9a8-9d5f-4e7f-9f9a-a1f6d3b2c9c1.trig
https://mbdiaries.itatti.harvard.edu/annotation/8e8e8ed3-f8e4-4458-91c5-682c76aedf1c/body,https://mbdiaries.itatti.harvard.edu/annotation/42a47be7-8a80-4861-95b7-3010e44681e3/body,160_event_d5f5f9c6-f9d6-4d0f-9f4e-f6f5d9d9d9d9.trig
https://mbdiaries.itatti.harvard.edu/annotation/9152f965-d530-4192-a39d-3a7f1f028dad/body,https://mbdiaries.itatti.harvard.edu/annotation/15546d64-c2c4-4d9a-b92b-694cf2c8fb4c/body,113_event_d8d9d2f1-f9c6-4f9e-9d6f-f5f3d2f1f9c6.trig
https://mbdiaries.itatti.harvard.edu/annotation/f1177016-875b-4398-9c24-ea59e21b7947/body,https://mbdiaries.itatti.harvard.edu/annotation/31f50a27-2131-41d0-814b-6b697b6bcfdf/body,78_event_d2f6f7d9-c2f5-d44d-9f9f-6fb8d6d8f4d4.trig
https://mbdiaries.itatti.harvard.edu/annotation/4aaf9a30-4cee-4210-be30-a6120189cc90/body,https://mbdiaries.itatti.harvard.edu/annotation/bda17e94-648a-419c-ac6c-cf3b00b86fca/body,64_event_a8d1d6e6-9b9a-4dfe-9d7d-f6d0b3c8d4ba.trig
https://mbdiaries.itatti.harvard.edu/annotation/7e6709a9-e881-46d4-9b64-9f8ccc801a58/body,https://mbdiaries.itatti.harvard.edu/annotation/92d15228-d6ff-47b4-b675-eff94a852646/body,19_event_3e7a7f1a-5d8f-4d0b-9b7e-2d3f8a9d7d2b.trig
https://mbdiaries.itatti.harvard.edu/annotation/cf862061-0be4-4bd1-8a8c-6b5635d26ebe/body,https://mbdiaries.itatti.harvard.edu/annotation/568e4c76-e152-4992-a5b9-dc3373fbe476/body,222_event_3e1d8f7a-f8d4-4a01-9b7e-2b7d5f8d5b9c.trig
